"code","title","kladr_code","addr","coords_lat","coords_lng","city"
"2252083356628762","Клин","","141607 г. Клин ул. Волоколамское шоссе, д.31 Бывшая территория « Клинской Сельхозтехники»","56.333332","36.733334","Клин"
"1125900209900120","Клинцы","","г.Клинцы, ул. Богунского полка, д. 71","52.751590","32.229210","Клинцы"
"2252083294101137","Когалым","","г. Когалым, п-т Нефтяников, д. 7, корп. Б","62.259290","74.544340","Когалым"
"1125899906842704","Комсомольск-на-А","2701800008700","г.Комсомольск-на-Амуре, ул. Краснофлотская, д. 4","50.546730","137.034420","Комсомольск-на-Амуре"
"1125899906842680","Кострома","4400100100000","г.Кострома, ул. Льняная, д. 1Ж","57.750410","40.984684","Кострома"
"1125899906842673","Краснодар","2300000100000","г.Краснодар, ул. Новороссийская, д. 216","45.035390","39.043950","Краснодар"
"1125899906842637","Красноярск","2400000100000","улица Красной Звезды, 1 строение 22, Красноярск, Красноярский край, Россия, 660001","56.001754","92.818472","Красноярск"
"2252083321949707","Куйбышев","","улица Гуляева, 59, Куйбышев, Новосибирская область, Россия, 632382","55.435004","78.328567","Куйбышев"
"1125899906842657","Курган","4500000100000","г.Курган, пр.Машиностроителей, д. 27","55.474770","65.319930","Курган"
"1125899906842698","Курск","4600000100000","г.Курск, ул. Нижняя Казацкая, д. 164","51.756830","36.160410","Курск"
"1125900177694286","Лабытнанги","8900000300000","г.Лабытнанги, ул. Пристанская, д. 6 склад № 6","66.658695","66.429144","Лабытнанги"
"1125899906842678","Липецк","4800000100000","г.Липецк, ул. Боевой пр-д, д. 5a","52.629070","39.550620","Липецк"
"1125899906842723","Магадан","4900000100000","г.Магадан, пер.Марчеканский, д. 25","59.544380","150.807740","Магадан"
"1125899906842644","Магнитогорск","7400000900000","г.Магнитогорск, ул. Калмыкова, д. 66/2","53.343870","58.997770","Магнитогорск"
"1125900168096700","Махачкала","0500000100000","г.Махачкала, ул. Даниялова, д. 91а","42.976280","47.522490","Махачкала"
"1125899906842727","Миасс","7400001000000","г.Миасс, ул. 60 лет Октября, д. 13а","55.013040","60.098220","Миасс"
"2252083286402331","Москва-Варшавское","7700000000000","г. Москва, 1-ый Варшавский проезд, д. 2, стр. 9А","55.644380","37.625730","Москва"
"1010008024","Москва-Восточный","7700000000000","г. Москва, Тюменский проезд, д.3, стр.8","55.811520","37.740910","Москва"
"2252083291084474","Москва-Лобня","7700000000000","г. Лобня, Букинское шоссе, д. 39","56.021370","37.473190","Москва"
"1010000415","Москва-Митино","7700000000000","Заводская улица, 22, Хлюпино, Россия","55.673351","36.956766","Москва"
"2252079008041703","Москва-Перово","7700000000000","г. Москва, Кусковский тупик, д. 4","55.735720","37.767720","Москва"
"1125904205076432","Москва-Рябиновая","7700000000000","г. Москва, ул. Рябиновая, д.44, стр.33","55.675550","37.433170","Москва"
"2252083286487775","Москва-Северный","7700000000000","г. Москва, ул. Вилюйская, владение 1А, строение 1","55.882610","37.627580","Москва"
"2252083286846980","Москва-Сортировочная","3300200100000","г.Александров, Южный проезд, д. 6","56.372380","38.693710","Александров"
"1125899906842731","Мурманск","5100000100000","г.Мурманск, ул. Свердлова, д. 11Б","68.993190","33.116530","Мурманск"
"1125899906842690","Набережные Челны","1600000200000","г. Набережные Челны, Автодорога №1, пос. З.Я.Б., база Комбат","55.696510","52.348040","Набережные Челны"
"2252083356717973","Назрань","","Назрань","43.214882","44.776352","Назрань"
"1125900209899520","Нальчик","","г. Нальчик, ул. Калюжного, 100","43.500777","43.595031","Нальчик"
"1125899906842639","Находка","2500000400000","г.Находка, ул. Сидоренко, д. 1","42.848050","132.889420","Находка"
"1125899906842691","Нерюнгри","1400000200000","680013, Хабаровский край, г.Хабаровск, ул.Синельникова д.1","56.692261","124.907310","Нерюнгри"
"1125899906842703","Нефтекамск","0200000300000","г.Нефтекамск, ул. Высоковольтная, д. 1Б","56.103690","54.242170","Нефтекамск"
"1125899906842655","Нижневартовск","8600001100000","г.Нижневартовск, ул. Авиаторов, д. 16","60.949400","76.520610","Нижневартовск"
"2252079008041709","Нижний Бестях","1401500105800","677007,Саха,Якутия,г.Якутск,ул.Чернышевского д.107 территория ( Партнер Аква)","61.962540","129.915649","Нижний Бестях"
"1125899906842649","Нижний Новгород","5200000100000","г.Нижний Новгород, ул. Геологов, д. 2«В»","56.244850","43.988500","Нижний Новгород"
"1125899906842726","Нижний Тагил","6600002300000","622000, Свердловская область, г. Нижний Тагил, ул. Индустриальная, д. 20","57.916238","59.990456","Нижний Тагил"
"2252083329984231","Новая Чара","","","56.816666","118.300003","Новая Чара"
"1125899906842666","Новокузнецк","4200001200000","г.Новокузнецк, ул. Щорса, д. 3а","53.747260","87.104130","Новокузнецк"
"1125899906842686","Новороссийск","2300000600000","г.Новороссийск, ул. Чкалова, д. 48","44.725120","37.744130","Новороссийск"
"1010005858","Новосибирск-Ногина","5400000100000","улица Ногина, 2, Новосибирск, Новосибирская область, Россия, 630001","55.042110","82.882226","Новосибирск"
"1125899906842630","Новосибирск-Толмачево","5400000100000","г. Новосибирск, ул. Толмачевская, д. 43/1, корп. 19, 630052","54.969820","82.795710","Новосибирск"
"1125899906842701","Новый Уренгой","8900000600000","Новый Уренгой","66.092494","76.697089","Новый Уренгой"
"2252083292416427","Норильск","","","69.062813","85.112862","Норильск"
"1125899906842688","Ноябрьск","8900000700000","Ноябрьск","63.198847","75.498658","Ноябрьск"
"1125899906842654","Омск-ПГР","5500000100000","644006, г. Омск, ул. Братская 4а","54.949537","73.392991","Омск"
"1125899906842665","Орел","5700100100000","г. Орёл, пер. Силикатный, д. 1","53.010460","36.106480","Орел"
"1125899906842707","Оренбург","5600000100000","проезд Автоматики, 30, Оренбург, Оренбургская область, Россия, 460048","51.805091","55.158504","Оренбург"
"1125899906842730","Орск","5600000400000","г.Орск, Орское шоссе, д. 6","51.239030","58.483210","Орск"
"1125899906842692","Пенза","5800000100000","г. Пенза, ул. Аустрина, д. 63","53.236180","45.018910","Пенза"
"1125899906842646","Пермь","5900000100000","г. Пермь, ул. Норильская 6","57.970871","56.198416","Пермь"
"1125899906842728","Петрозаводск","1000000100000","г.Петрозаводск, ул. Заводская, д. 2","61.816170","34.310480","Петрозаводск"
"1125899906842705","Петропавловск-Ка","4100500003500","г.Петропавловск-Камчатский, ул. Вулканная, д. 29а","53.079490","158.608930","Петропавловск-Камчатский"
"2252083293455962","Печора","","","65.133331","57.216667","Печора"
"1125900209899077","Прокопьевск","","В Прокопьевске прием/выдача груза осуществляется путем адресной автодоставки от грузоотправителя (или до грузополучателя) по предварительному согласованию. Максимальные размеры одного места вес 2500кг. Длинна 5м высота 2м ширина 2м.","53.898030","86.746420","Прокопьевск"
"1125899906842736","Псков","6000000100000","г.Псков, ул. Леона Поземского, д. 110Д","57.833750","28.307010","Псков"
"1125899906842700","Пятигорск","2600000700000","357500, г. Пятигорск, мкр-н Скачки, Промзона-2","44.060190","43.001470","Пятигорск"
"2252083356727425","Россошь","","309504, Белгородская область, г.Старый Оскол, пр.Комсомольский, 73","50.200001","39.549999","Россошь"
"1010005954","Ростов-на-Дону-Западный","6100000100000","г. Ростов-на-Дону, ул. Каширская, д. 7","47.197790","39.618210","Ростов-на-Дону"
"1125899906842675","Ростов-на-Дону-Сельмаш","6100000100000","г. Ростов-на-Дону, ул. Комбайностроителей, д. 2","47.271508","39.760050","Ростов-на-Дону"
"1125899906842669","Рубцовск","2200000900000","г.Рубцовск, ул. Линейная, д. 2а","51.500840","81.193910","Рубцовск"
